name,state,lat,lon
OTSEGO COUNTY ARPT,MI,45.01,-84.70
GRAYLING AAF AIRPORT,MI,44.68,-84.73
GRAND RAPIDS ASOS,MI,42.88,-85.52
HOUGHTON LAKE,MI,44.37,-84.68
SAGINAW/BROWNE,MI,43.43,-83.86
IRON MOUNTAIN,MI,45.82,-88.12
STURGIS,MI,41.81,-85.44
MANISTIQUE,MI,45.97,-86.17
IRONWOOD,MI,46.53,-90.13
JACKSON,MI,42.27,-84.47
HILLSDALE,MI,41.92,-84.59
LANSING,MI,42.78,-84.60
LUDINGTON/MASON APRT,MI,43.97,-86.40
SOUTH HAVEN AREA RGN,MI,42.35,-86.26
MANISTEE,MI,44.27,-86.25
SAGINAW,MI,43.53,-84.08
MACKINAC ISLAND,MI,45.87,-84.63
HARBOR SPRINGS ARPT,MI,45.43,-84.91
MUSKEGON,MI,43.17,-86.23
MENOMINEE,MI,45.12,-87.63
MOUNT PLEASANT MUNI,MI,43.62,-84.74
MT.CLEMENS,MI,42.60,-82.83
COLDWATER,MI,41.95,-85.00
DETROIT/GROSSE ILE,MI,42.10,-83.16
WURTSMITH AFB,MI,44.45,-83.40
HOWELL,MI,42.63,-83.98
MUNISING,MI,46.41,-86.65
PORT HOPE (RAMOS),MI,44.02,-82.79
COPPER HAR(RAMOS),MI,47.47,-87.87
PORT HURON,MI,42.91,-82.53
PELLSTON,MI,45.56,-84.79
PONTIAC,MI,42.67,-83.42
ROGERS CITY/PRESQUE,MI,45.41,-83.81
MARSHALL,MI,42.25,-84.96
OWOSSO COMMUNITY ARP,MI,42.99,-84.14
BIG RAPIDS,MI,43.72,-85.50
GWINN,MI,46.35,-87.40
BEAVER ISLAND ARPT,MI,45.69,-85.57
CHEBOYGAN CNTY ARPT,MI,45.65,-84.52
MASON,MI,42.57,-84.42
MONROE,MI,41.94,-83.44
TRAVERSE CITY,MI,44.74,-85.57
OAKLAND/TROY ARPT,MI,42.54,-83.18
WILLOW RUN APRT,MI,42.23,-83.53
WASECA MUNI AP,MN,44.07,-93.55
WADENA,MN,46.45,-95.21
ALBERT LEA,MN,43.68,-93.37
AITKIN NDB(AWOS),MN,46.55,-93.68
ANOKA COUNTY ARPT,MN,45.15,-93.22
APPLETON MUNICIPAL A,MN,45.23,-96.00
AUSTIN MUNI,MN,43.67,-92.93
ALEXANDRIA ASOS,MN,45.87,-95.38
BENSON MUNI,MN,45.32,-95.65
BAUDETTE ASOS,MN,48.72,-94.60
SILVER BAY,MN,47.20,-91.40
BEMIDJI,MN,47.50,-94.93
BRAINERD ASOS,MN,46.40,-94.13
CAMBRIDGE MUNI,MN,45.57,-93.27
CRANE LAKE (AWOS),MN,46.27,-92.57
BUFFALO MUNI ARPT,MN,45.16,-93.84
GRAND MARAIS,MN,47.84,-90.36
CROOKSTON MUNI FLD,MN,47.85,-96.62
CLOQUET (AWOS),MN,46.70,-92.50
COOK,MN,47.83,-92.68
DULUTH,MN,46.83,-92.18
DETROIT LAKES,MN,46.83,-95.88
MADISON,MN,44.99,-96.18
DULUTH,MN,46.72,-92.04
ELY,MN,47.82,-91.83
WHEATON NDB (AWOS),MN,45.70,-96.50
EVELETH MUNI (AWOS),MN,47.40,-92.50
FARIBAULT/MUNI,MN,44.33,-93.32
MINNEAPOLIS FLYCD,MN,44.83,-93.45
FERGUS FALLS,MN,46.28,-96.15
FLAG ISLAND,MN,49.32,-94.88
PRESTON/FILLMORE CO,MN,43.68,-92.18
BIGFORK,MN,47.78,-93.65
FAIRMONT,MN,43.65,-94.42
FOSSTON(AWOS),MN,47.59,-95.77
GRANITE FALLS MUNI A,MN,44.75,-95.56
GLENWOOD (ASOS),MN,45.65,-95.32
GRAND MARAIS,MN,47.75,-90.35
GRAND RAPIDS,MN,47.22,-93.52
GLENCOE,MN,44.76,-94.08
HUTCHINSON (AWOS),MN,44.87,-94.38
HALLOCK,MN,48.78,-96.95
HIBBING,MN,47.38,-92.83
ISEDOR IVERSON ARPT,MN,46.62,-93.31
INTERNATIONAL FLS,MN,48.57,-93.38
MOORHEAD,MN,46.84,-96.66
MORA MUNI (AWOS),MN,45.88,-93.27
ST. JAMES,MN,43.98,-94.55
LITCHFIELD MUNI,MN,45.10,-94.50
AIRLAKE,MN,44.63,-93.23
LITTLE FALLS (AWOS),MN,45.95,-94.35
LUVERNE/AANENSON FLD,MN,43.62,-96.22
MAPLE LAKE,MN,45.24,-93.99
MINNEAPOLIS CRYS.,MN,45.07,-93.35
JACKSON MUNI (AWOS),MN,43.65,-94.98
MANKATO,MN,44.22,-93.92
MARSHALL (AWOS),MN,44.45,-95.82
MORRIS MUNI (AWOS),MN,45.57,-95.97
MINNEAPOLIS,MN,44.88,-93.22
MONTEVIDEO(AWOS),MN,44.97,-95.72
WINDOM,MN,43.92,-95.09
MOOSE LAKE,MN,46.42,-92.80
WINONA MUNI (AWOS),MN,44.08,-91.70
ORR,MN,48.02,-92.87
WORTHINGTON AWOS,MN,43.65,-95.58
OLIVIA RGNL AIRPORT,MN,44.78,-95.03
OWATONNA (AWOS),MN,44.12,-93.25
PARK RAPIDS ASOS,MN,46.90,-95.07
PRINCETON,MN,45.55,-93.60
PIPESTONE (AWOS),MN,43.98,-96.32
PINE RIVER,MN,46.72,-94.38
RED WING,MN,44.58,-92.48
RUSH CITY,MN,45.70,-92.95
ROSEAU,MN,48.85,-95.70
WARROAD,MN,48.95,-95.33
ROCHESTER,MN,43.92,-92.50
REDWOOD FALLS,MN,44.54,-95.08
STAPLES,MN,46.39,-94.80
SOUTH ST PAUL MUNI,MN,44.85,-93.15
ST CLOUD ASOS,MN,45.55,-94.07
ST PAUL,MN,44.93,-93.07
STANTON AIRFIELD,MN,44.48,-93.02
TRACY MUNI ARPT,MN,44.25,-95.61
DODGE CENTER,MN,44.02,-92.83
THIEF RIVER FALLS,MN,48.07,-96.18
TWO HARBORS,MN,47.05,-91.75
NEW ULM MUNI (AWOS),MN,44.32,-94.50
ORTONVILLE,MN,45.31,-96.43
WASKISH MUNI APRT,MN,48.15,-94.52
LONGVILLE,MN,46.99,-94.20
ANTIGO (AWOS),WI,45.15,-89.13
ARBOR VITAE,WI,45.90,-89.70
KENNEDY MEMORIAL AIR,WI,46.54,-90.92
APPLETON,WI,44.27,-88.52
WAUSAU,WI,44.93,-89.62
BURLINGTON MUNI ARPT,WI,42.69,-88.30
CLINTONVILLE,WI,44.62,-88.71
MCCOY AAF,WI,43.97,-90.73
MOSINEE,WI,44.78,-89.67
BARABOO (AWOS),WI,43.52,-89.77
EAU CLAIRE,WI,44.87,-91.48
MONROE,WI,42.61,-89.59
EAGLE RIVER,WI,45.94,-89.26
KENOSHA,WI,42.60,-87.94
WEST BEND,WI,43.42,-88.13
FOND DU LAC,WI,43.77,-88.49
GREEN BAY,WI,44.48,-88.13
HAYWARD ASOS,WI,46.02,-91.45
WISCONSIN R. ASOS,WI,44.37,-89.83
JANESVILLE,WI,42.62,-89.03
KINGS LAND O LAKES,WI,46.15,-89.21
LONE ROCK,WI,43.21,-90.19
LA CROSSE,WI,43.88,-91.25
MENOMONIE MUNI ARPT/,WI,44.89,-91.87
MEDFORD,WI,45.10,-90.30
MARSHFIELD,WI,44.63,-90.18
MILWAUKEE ASOS,WI,42.95,-87.90
MINERAL POINT,WI,42.88,-90.23
MADISON,WI,43.13,-89.33
MANITOWOC (AWOS),WI,44.13,-87.67
OSCEOLA,WI,45.31,-92.69
OSKOSH,WI,44.00,-88.57
BOSCOBEL (ASOS),WI,43.15,-90.68
PHILLIPS/PRICE CO.,WI,45.70,-90.40
WAUPACA MUNI ARPT,WI,44.33,-89.02
PRAIRIE DU CHIEN MUN,WI,43.02,-91.12
RACINE,WI,42.76,-87.82
LADYSMITH/RUSK CO AP,WI,45.50,-91.00
RHINELANDER,WI,45.63,-89.45
NEW RICHMOND,WI,45.17,-92.53
RICE LAKE,WI,45.43,-91.76
MERRILL MUNICIPAL AI,WI,45.18,-89.70
WATERTOWN (AWOS),WI,43.10,-88.72
SIREN/BURNETT CTY AP,WI,45.82,-92.37
SHEBOYGAN,WI,43.78,-87.85
STEVENS POINT,WI,44.55,-89.53
STURGEON BAY,WI,44.92,-87.42
SUPERIOR (AWOS),WI,46.69,-92.07
TOMAHAWK RGNL ARPT,WI,45.47,-89.81
WAUKESHA,WI,43.03,-88.23
JUNEAU/DODGE COUNTY,WI,43.43,-88.69
CAMP DOUGLAS,WI,43.93,-90.27
BUFFALO,SD,45.60,-103.55
SISSETON MCPL AIRPOR,SD,45.68,-96.99
CHAMBERLAIN(AMOS),SD,43.77,-99.32
ABERDEEN ASOS,SD,45.45,-98.43
WATERTOWN ASOS,SD,44.92,-97.15
BROOKINGS,SD,44.30,-96.80
CUSTER,SD,43.73,-103.62
FAITH,SD,45.03,-102.02
SIOUX FALLS,SD,43.57,-96.73
HURON,SD,44.38,-98.22
WINNER REGIONL ARPRT,SD,43.39,-99.84
PINE RIDGE,SD,43.03,-102.52
MOBRIDGE,SD,45.55,-100.41
MITCHELL,SD,43.77,-98.04
PHILIP,SD,44.05,-101.60
PIERRE,SD,44.38,-100.29
RAPID CITY ASOS,SD,44.05,-103.07
ELLSWORTH AFB,SD,44.15,-103.10
YANKTON (AWOS),SD,42.92,-97.38
BISMARCK,ND,46.77,-100.75
WAHPETON/HARRY STERN,ND,46.24,-96.61
DICKINSON,ND,46.80,-102.80
DEVIL'S LAKE,ND,48.12,-98.90
FARGO,ND,46.90,-96.80
GRAND FORKS,ND,47.95,-97.18
HETTINGER,ND,46.01,-102.65
WILLISTON,ND,48.18,-103.63
JAMESTOWN,ND,46.93,-98.67
MINOT AFB,ND,48.42,-101.35
MINOT,ND,48.26,-101.27
GARRISON (AMOS),ND,47.65,-101.38
GRAND FORKS AFB,ND,47.95,-97.40
NEWHALL,CA,34.37,-118.57
EDWARDS AFB AUX N,CA,34.98,-117.86
ALTURAS,CA,41.49,-120.56
ARCATA,CA,40.98,-124.11
NAPA,CA,38.22,-122.28
AUBURN MUNI AP,CA,38.95,-121.08
AVALON,CA,33.40,-118.41
BEALE AFB,CA,39.13,-121.43
BAKERSFIELD,CA,35.42,-119.05
BISHOP ASOS,CA,37.37,-118.37
BLYTHE,CA,33.62,-114.71
BLUE CANYON ASOS,CA,39.28,-120.70
BURBANK,CA,34.20,-118.37
CONCORD,CA,37.98,-122.05
CRESCENT CITY,CA,41.78,-124.23
CAMARILLO AWOS,CA,34.21,-119.09
CHINO,CA,33.97,-117.63
USC CAMPUS,CA,34.03,-118.29
CARLSBAD,CA,33.13,-117.28
CAMPO,CA,32.62,-116.47
DAGGETT,CA,34.85,-116.79
EDWARDS AFB,CA,34.90,-117.87
NEEDLES,CA,34.77,-114.62
FRESNO ASOS,CA,36.77,-119.72
FULLERTON,CA,33.87,-117.97
HAWTHORNE,CA,33.92,-118.33
HANFORD,CA,36.32,-119.63
HAYWARD,CA,37.65,-122.12
IMPERIAL,CA,32.83,-115.58
LOS ANGELES,CA,33.93,-118.40
LONG BEACH,CA,33.82,-118.15
LOMPOC (AWOS),CA,34.67,-120.47
LIVERMORE,CA,37.70,-121.82
MADERA,CA,36.98,-120.12
MERCED,CA,37.28,-120.60
MATHER AFB,CA,38.55,-121.30
MT SHASTA ASOS,CA,41.32,-122.32
MODESTO,CA,37.63,-120.95
MONTEREY,CA,36.58,-121.85
SAN DIEGO,CA,32.82,-117.15
MARYSVILLE,CA,39.10,-121.57
CAMP PENDLETON,CA,33.30,-117.36
CHINA LAKE NAS,CA,35.69,-117.69
EL CENTRO NAF,CA,32.83,-115.67
MIRAMAR NAS,CA,32.87,-117.14
LEMOORE NAS,CA,36.33,-119.95
IMPERIAL BCH. NAS,CA,32.57,-117.12
POINT MUGU NAS,CA,34.12,-119.12
MOUNTAIN VIEW NAS,CA,37.42,-122.05
29 PALMS,CA,34.30,-116.16
NORTH ISLAND NAS,CA,32.70,-117.22
OAKLAND,CA,37.72,-122.22
OCEANSIDE,CA,33.22,-117.35
ONTARIO,CA,34.05,-117.62
OROVILLE,CA,39.49,-121.62
OXNARD,CA,34.20,-119.20
PALO ALTO,CA,37.47,-122.12
PALMDALE,CA,34.63,-118.08
PASO ROBLES,CA,35.67,-120.63
PALM SPRINGS,CA,33.83,-116.50
PORTERVILLE (AWOS),CA,36.03,-119.07
RIVERSIDE,CA,33.95,-117.45
RED BLUFF ASOS,CA,40.15,-122.25
REDDING,CA,40.50,-122.30
SAN JOSE,CA,37.33,-121.82
MARCH AFB,CA,33.90,-117.25
RAMONA,CA,33.04,-116.92
SACRAMENTO,CA,38.52,-121.50
SAN DIEGO,CA,32.73,-117.17
SANTA BARBARA,CA,34.43,-119.83
SAN LUIS OBISPO,CA,35.23,-120.63
STOCKTON,CA,37.90,-121.25
SANDBURG ASOS,CA,34.75,-118.73
SAN DIEGO/BROWN,CA,32.57,-116.98
SAN FRANCISCO,CA,37.62,-122.38
MONTAGUE/SSK AWOS,CA,41.78,-122.47
SAN JOSE,CA,37.36,-121.92
SACRAMENTO MET AP,CA,38.70,-121.60
SANTA MONICA,CA,34.01,-118.46
SANTA MARIA,CA,34.90,-120.45
SANTA ANA,CA,33.67,-117.88
SALINAS,CA,36.67,-121.60
SAN CARLOS,CA,37.52,-122.25
SANTA ROSA,CA,38.50,-122.82
TRAVIS AFB,CA,38.27,-121.93
TORRANCE,CA,33.80,-118.33
TRUCKEE,CA,39.32,-120.13
DESERT RESORTS THERM,CA,33.63,-116.16
SOUTH LAKE TAHOE,CA,38.90,-119.99
UKIAH,CA,39.13,-123.20
VANDERBERG AFB,CA,34.72,-120.57
VACAVILLE,CA,38.38,-121.96
VICTORVILLE,CA,34.60,-117.38
VISALIA,CA,36.32,-119.40
VAN NUYS,CA,34.22,-118.48
LANCASTER,CA,34.73,-118.22
WATSONVILLE,CA,36.93,-121.78
ASTORIA ASOS,OR,46.15,-123.88
BAKER,OR,44.84,-117.81
BURNS ASOS,OR,43.58,-118.95
BROOKINGS AP,OR,42.07,-124.29
CORVALLIS (AWOS),OR,44.50,-123.28
THE DALLES,OR,45.62,-121.17
EUGENE ASOS,OR,44.12,-123.22
HILLSBORO/PORTLAND,OR,45.55,-122.95
HERMISTON,OR,45.83,-119.26
LA GRANDE (AWOS),OR,45.28,-118.00
LAKEVIEW (AWOS),OR,42.17,-120.40
KLAMATH FALLS,OR,42.15,-121.73
MEACHAM (AMOS),OR,45.50,-118.40
MEDFORD,OR,42.37,-122.87
MCMINNVILLE,OR,45.20,-123.13
ONTARIO,OR,44.02,-117.02
NEWPORT,OR,44.58,-124.05
NORTH BEND,OR,43.42,-124.25
PENDLETON ASOS,OR,45.68,-118.85
PORTLAND,OR,45.60,-122.60
ROSEBURG ASOS,OR,43.23,-123.37
REDMOND,OR,44.27,-121.15
ROME,OR,42.59,-117.87
SALEM ASOS,OR,44.92,-123.00
SCAPPOOSE,OR,45.78,-122.84
SEXTON SMT ASOS,OR,42.62,-123.37
PORTLAND/TROUTDALE,OR,45.55,-122.41
AURORA STATE,OR,45.25,-122.77
WALLA WALLA,WA,46.10,-118.28
ARLINGTON MUNI,WA,48.17,-122.17
BOEING FIELD,WA,47.53,-122.30
BELLINGHAM,WA,48.80,-122.53
SKAGIT RGNL ARPT,WA,48.47,-122.42
PORT ANGELES,WA,48.12,-123.50
DEER PARK,WA,47.97,-117.41
WENATCHEE,WA,47.40,-120.20
ELLENSBURG/BOWERS,WA,47.00,-120.52
EPHRATA,WA,47.31,-119.51
FRIDAY HARBOR,WA,48.52,-123.02
SPOKANE ASOS,WA,47.63,-117.53
FORT LEWIS,WA,47.08,-122.58
HANFORD,WA,46.57,-119.60
HOQUIAM,WA,46.97,-123.93
KELSO (AWOS),WA,46.12,-122.90
MOSES LAKE,WA,47.20,-119.32
WHIDBEY IS.NAS,WA,48.35,-122.66
OLYMPIA,WA,46.97,-122.90
OMAK,WA,48.46,-119.52
ORCAS ISLAND ARPT,WA,48.71,-122.91
EVERETT,WA,47.92,-122.28
PASCO,WA,46.27,-119.12
PULLMAN-MOSCOW RGNL,WA,46.74,-117.11
BREMERTON AWOS,WA,47.48,-122.77
RENTON,WA,47.50,-122.22
SEATTLE-TACOMA,WA,47.45,-122.30
SPOKANE/FELTS,WA,47.67,-117.33
SHELTON,WA,47.25,-123.15
FAIRCHILD AFB,WA,47.63,-117.65
STAMPEDE PASS ASOS,WA,47.28,-121.33
MCCHORD AFB,WA,47.15,-122.48
TOLEDO,WA,46.48,-122.80
TACOMA,WA,47.27,-122.58
QUILLAYUTE,WA,47.95,-124.55
VANCOUVER (ASOS),WA,45.62,-122.65
YAKIMA,WA,46.57,-120.53
BIG PINEY (AMOS),WY,42.57,-110.10
BUFFALO,WY,44.38,-106.72
CODY (AMOS),WY,44.52,-109.02
CASPER,WY,42.92,-106.47
CHEYENNE,WY,41.15,-104.82
CONVERSE COUNTY ARRT,WY,42.78,-105.37
EVANSTON,WY,41.28,-111.03
GILLETTE (AMOS),WY,44.35,-105.53
SOUTH BIG HORN COUNT,WY,44.51,-108.07
JACKSON,WY,43.60,-110.73
LARAMIE,WY,41.32,-105.67
LANDER,WY,42.82,-108.73
YELLOWSTONE(AMOS),WY,44.55,-110.42
PINEDALE/RALPH WENZ,WY,42.80,-109.81
RIVERTON,WY,43.05,-108.45
ROCK SPRINGS,WY,41.60,-109.07
RAWLINS,WY,41.80,-107.20
SHERIDAN,WY,44.77,-106.97
TORRINGTON MUNI,WY,42.06,-104.15
WORLAND,WY,43.98,-107.96
BLANDING,UT,37.62,-109.47
HANKSVILLE,UT,38.37,-110.72
BRYCE CANYON,UT,37.70,-112.15
CEDAR CITY,UT,37.70,-113.10
MOAB,UT,38.77,-109.75
WENDOVER (AUTOB),UT,40.73,-114.03
HILL AFB,UT,41.12,-111.97
LOGAN,UT,41.78,-111.85
MILFORD,UT,38.43,-113.02
OGDEN,UT,41.18,-112.02
PRICE (RAMOS),UT,39.62,-110.75
PROVO,UT,40.22,-111.72
ST GEORGE (AWOS),UT,37.10,-113.60
SALT LAKE CITY,UT,40.77,-111.97
VERNAL,UT,40.45,-109.52
TONOPAH RANGE 74,NV,37.61,-116.26
MERCURY ASOS,NV,36.62,-116.02
ELKO REGIONAL AIRPRT,NV,40.83,-115.79
ELY ASOS,NV,39.28,-114.85
LAS VEGAS/HENDERSON,NV,35.97,-115.13
INDIAN SPRINGS GNRY,NV,36.59,-115.67
LAS VEGAS ASOS,NV,36.08,-115.17
LOVELOCK,NV,40.07,-118.57
NELLIS AFB,NV,36.25,-115.03
FALLON NAS,NV,39.42,-118.70
EUREKA ASOS,NV,39.60,-116.01
RENO ASOS,NV,39.50,-119.78
TONOPAH,NV,38.05,-117.09
NORTH LAS VEGAS,NV,36.21,-115.20
WINNEMUCA ASOS,NV,40.90,-117.80
BAKER,MT,46.35,-104.26
BILLINGS ASOS,MT,45.80,-108.53
BUTTE,MT,45.96,-112.50
BOZEMAN ASOS,MT,45.78,-111.15
CUTBANK,MT,48.62,-112.38
DILLON,MT,45.25,-112.55
GLENDIVE,MT,47.13,-104.80
GLASGOW ASOS,MT,48.22,-106.62
KALISPELL ASOS,MT,48.31,-114.26
GREAT FALLS ASOS,MT,47.48,-111.37
HELENA ASOS,MT,46.60,-112.00
HAVRE ASOS,MT,48.55,-109.77
JORDAN ASOS,MT,47.33,-106.83
LIVINGSTON,MT,45.70,-110.44
LEWISTOWN,MT,47.05,-109.47
MILES CITY,MT,46.43,-105.88
MISSOULA,MT,46.92,-114.08
WOLF POINT,MT,48.10,-105.58
SIDNEY (AWOS),MT,47.72,-104.18
BOISE,ID,43.57,-116.22
BURLEY,ID,42.54,-113.77
COEUR DALENE AWOS,ID,47.77,-116.82
CALDWELL,ID,43.63,-116.63
IDAHO FALLS,ID,43.52,-112.07
JEROME,ID,42.73,-114.45
CHALLIS ASOS,ID,44.52,-114.22
LEWISTON ASOS,ID,46.38,-117.02
MULLAN PASS VOR,ID,47.45,-115.67
MOUNTAIN HOME AFB,ID,43.05,-115.87
MCCALL (RAMOS),ID,44.88,-116.10
LOWELL,ID,46.14,-115.60
POCATELLO,ID,42.92,-112.60
REXBURG,ID,43.83,-111.81
SALMON,ID,45.12,-113.88
STANLEY RANGER STN,ID,44.17,-114.93
HAILEY,ID,43.50,-114.30
SANDPOINT AP,ID,48.30,-116.56
TWIN FALLS,ID,42.48,-114.48
CASA GRANDE AWOS,AZ,32.90,-111.70
CHANDLER,AZ,33.27,-111.82
DAVIS-MONTHAN AFB,AZ,32.17,-110.88
DOUGLAS,AZ,31.47,-109.60
DEER VLY/PHOENIX,AZ,33.69,-112.07
FT HUACHUCA,AZ,31.58,-110.33
FLAGSTAFF ASOS,AZ,35.13,-111.67
GILA BEND,AZ,32.93,-112.70
GRAND CANYON ASOS,AZ,35.95,-112.15
GLENDALE MUNI AP,AZ,33.53,-112.30
GOODYEAR,AZ,33.42,-112.38
BULLHEAD CITY,AZ,35.16,-114.56
KINGMAN ASOS,AZ,35.27,-113.95
WINSLOW ASOS,AZ,35.02,-110.73
CHANDLER/WILLIAMS AF,AZ,33.30,-111.67
LUKE AFB,AZ,33.55,-112.37
YUMA INTL AP/MCAS,AZ,32.66,-114.61
NOGALES INTERNATIONA,AZ,31.42,-110.85
PAGE ASOS,AZ,36.93,-111.45
PHOENIX ASOS,AZ,33.43,-112.02
PRESCOTT,AZ,34.65,-112.43
WINDOW ROCK,AZ,35.65,-109.07
SAFFORD,AZ,32.85,-109.63
SCOTTSDALE,AZ,33.62,-111.91
ST. JOHNS AIR PARK A,AZ,34.52,-109.38
SHOW LOW,AZ,34.27,-110.00
TUCSON,AZ,32.12,-110.93
ANDERSON,IN,40.12,-85.62
WARSAW MUNI ARPT,IN,41.27,-85.84
BLOOMINGTON,IN,39.13,-86.62
EVANSVILLE,IN,38.05,-87.53
INDIANAPOLIS ASOS,IN,39.83,-86.30
FORT WAYNE,IN,41.00,-85.20
SHELBYVILLE,IN,39.59,-85.80
GOSHEN,IN,41.53,-85.79
GRISSOM AFB,IN,40.65,-86.15
GARY,IN,41.62,-87.42
HUNTINGBURG,IN,38.25,-86.95
TERRE HAUTE,IN,39.45,-87.30
INDIANAPOLIS,IN,39.73,-86.28
LAFAYETTE,IN,40.42,-86.93
MUNCIE,IN,40.23,-85.38
KOKOMO MUNI AP,IN,40.53,-86.06
SOUTH BEND,IN,41.70,-86.32
VALPARAISO,IN,41.45,-87.00
AUDUBORN,IA,41.70,-94.92
ATLANTIC,IA,41.40,-95.05
WATERLOO ASOS,IA,42.55,-92.40
AMES MUNICIPAL ARPT,IA,41.99,-93.62
WASHINGTON,IA,41.28,-91.67
ALGONA,IA,43.08,-94.27
BOONE MUNI,IA,42.05,-93.85
BURLINGTON,IA,40.78,-91.12
CLARION,IA,42.75,-93.77
COUNCIL BLUFFS,IA,41.27,-95.77
CHARLES CITY,IA,43.07,-92.62
CEDAR RAPIDS,IA,41.88,-91.70
CARROLL,IA,42.05,-94.78
CHARITON,IA,41.03,-93.37
CRESTON,IA,41.02,-94.37
CLINTON (AWOS),IA,41.83,-90.33
DUBUQUE ASOS,IA,42.40,-90.70
DECORAH,IA,43.28,-91.73
DENISON,IA,41.98,-95.38
DES MOINES ASOS,IA,41.53,-93.65
DAVENPORT ASOS,IA,41.62,-90.58
WEBSTER CITY,IA,42.43,-93.87
KEOKUK MUNI,IA,40.47,-91.43
ESTHERVILLE,IA,43.40,-94.75
FAIR FIELD,IA,41.05,-91.98
